publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
cognitive-behavioral therapy for adult asperger syndrome		9781593854973							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12752.9781593858490	Gaus	/ebooks/ebooks2/pda/2011-12-01/1/12752.9781593858490		fulltext		Guilford Press	monograph	2007							P
companion to 19th-century america		9780631209850							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12207.9780470998465		/ebooks/ebooks2/pda/2011-12-01/1/12207.9780470998465		fulltext		Blackwell	monograph	2001		2		Barney			P
companion to philosophy of religion		9781405163576							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/15087.9781444320169		/ebooks/ebooks2/pda/2011-12-01/1/15087.9781444320169		fulltext		Wiley-Blackwell	monograph	2010		9	2nd ed.	Taliaferro			P
complete french grammar		9780071482844							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11372.0071594353	Heminway	/ebooks/ebooks2/pda/2011-12-01/1/11372.0071594353		fulltext		McGraw-Hill Contemporary Learning	monograph	2007							P
compliance management for public, private, or nonprofit organizations		9780071496407							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11751.0071642862	Silverman	/ebooks/ebooks2/pda/2011-12-01/1/11751.0071642862		fulltext		McGraw-Hill	monograph	2008							P
comprehensive organic reactions in aqueous media		9780471761297							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470131435	Li	/ebooks/ebooks2/pda/2011-12-01/1/12995.9780470131435		fulltext		Wiley-Interscience	monograph	2007			2nd ed.				P
convexity and optimization in r [superscript n]		9780471352815							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13560.9780471461661	Berkovitz	/ebooks/ebooks2/pda/2011-12-01/1/13560.9780471461661		fulltext		J. Wiley	monograph	2002							P
corruption and the secret of law: a legal anthropological perspective		9780754671107							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/11650.9780754685044		/ebooks/ebooks2/pda/2011-12-01/1/11650.9780754685044		fulltext		Ashgate	monograph	2007				Anders			P
creative destruction: how globalization is changing the world's cultures		9780691117836							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13268.9780691117836	Cowen	/ebooks/ebooks2/pda/2011-12-01/1/13268.9780691117836		fulltext		Princeton University Press	monograph	2002							P
crm at the speed of light: social crm strategies, tools, and techniques for engaging your customers		9780071590457							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/14838.0071590463	Greenberg	/ebooks/ebooks2/pda/2011-12-01/1/14838.0071590463		fulltext		McGraw-Hill	monograph	2009			4th ed.				P
environmental biotechnology: concepts and applications		9783527305858							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13562.9783527604524		/ebooks/ebooks2/pda/2011-12-01/1/13562.9783527604524		fulltext		Wiley-VCH	monograph	2005				Jördening			P
eurostars and eurocities: free movement and mobility in an integrating europe		9781405134040							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/12668.9780470712580	Favell	/ebooks/ebooks2/pda/2011-12-01/1/12668.9780470712580		fulltext		Blackwell Pub.	monograph	2008							P
explaining reading: a resource for teaching concepts, skills, and strategies		9781606230756							http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/13311.9781606230893	Duffy	/ebooks/ebooks2/pda/2011-12-01/1/13311.9781606230893		fulltext		Guilford Press	monograph	2009			2nd ed.				P
feminist methodology: challenges and choices	9780761951223								http://books.scholarsportal.info/uri/ebooks/ebooks2/pda/2011-12-01/1/8698.0761951229	Ramazanoglu	/ebooks/ebooks2/pda/2011-12-01/1/8698.0761951229		fulltext		Sage	monograph	2002							P
